time;height;velocity
0.0;100.000000;10.000000;
0.1;100.450966;9.019335;
0.2;100.803864;8.038670;
0.3;101.058701;7.058005;
0.4;101.215469;6.077340;
0.5;101.274170;5.096675;
0.6;101.234802;4.116010;
0.7;101.097374;3.135345;
0.8;100.861870;2.154679;
0.9;100.528305;1.174014;
1.0;100.096672;0.193349;
1.1;99.566978;-0.787316;
1.2;98.939209;-1.767982;
1.3;98.213379;-2.748647;
1.4;97.389481;-3.729312;
1.5;96.467514;-4.709977;
1.6;95.447487;-5.690642;
1.7;94.329384;-6.671309;
1.8;93.113220;-7.651974;
1.9;91.798988;-8.632639;
2.0;90.386696;-9.613302;
2.1;88.876335;-10.593967;
2.2;87.267906;-11.574631;
2.3;85.561409;-12.555294;
2.4;83.756851;-13.535959;
2.5;81.854225;-14.516623;
2.6;79.853531;-15.497288;
2.7;77.754768;-16.477951;
2.8;75.557945;-17.458616;
2.9;73.263054;-18.439280;
3.0;70.870094;-19.419943;
3.1;68.379066;-20.400608;
3.2;65.789978;-21.381271;
3.3;63.102818;-22.361935;
3.4;60.317596;-23.342598;
3.5;57.434299;-24.323265;
3.6;54.452946;-25.303928;
3.7;51.373524;-26.284592;
3.8;48.196037;-27.265255;
3.9;44.920475;-28.245922;
4.0;41.546852;-29.226585;
4.1;38.075157;-30.207253;
4.2;34.505402;-31.187916;
4.3;30.837582;-32.168579;
4.4;27.071697;-33.149242;
4.5;23.207745;-34.129906;
4.6;19.245718;-35.110573;
4.7;15.185633;-36.091236;
4.8;11.027482;-37.071899;
4.9;6.771265;-38.052563;
5.0;2.416981;-39.033226;
5.1;-2.035378;-40.013893;
5.2;-6.585794;-40.994556;
5.3;-11.234276;-41.975220;
5.4;-15.980824;-42.955883;
5.5;-20.825439;-43.936546;
5.6;-25.768131;-44.917213;
5.7;-30.808878;-45.897877;
5.8;-35.947693;-46.878540;
5.9;-41.184574;-47.859203;
6.0;-46.519520;-48.839867;
6.1;-51.952541;-49.820534;
6.2;-57.483620;-50.801197;
6.3;-63.112766;-51.781860;
6.4;-68.839981;-52.762524;
6.5;-74.665253;-53.743187;
6.6;-80.588608;-54.723854;
6.7;-86.610008;-55.704514;
6.8;-92.729500;-56.685181;
6.9;-98.947052;-57.665848;
7.0;-105.262650;-58.646507;
7.1;-111.676338;-59.627174;
7.2;-118.188065;-60.607834;
7.3;-124.797890;-61.588501;
7.4;-131.505783;-62.569168;
7.5;-138.311707;-63.549828;
7.6;-145.215729;-64.530495;
7.7;-152.217789;-65.511154;
7.8;-159.317932;-66.491821;
7.9;-166.516159;-67.472488;
8.0;-173.812408;-68.453148;
8.1;-181.206772;-69.433815;
8.2;-188.699203;-70.414482;
8.3;-196.289703;-71.395149;
8.4;-203.978302;-72.375824;
8.5;-211.764954;-73.356491;
8.6;-219.649658;-74.337158;
8.7;-227.632431;-75.317825;
8.8;-235.713272;-76.298492;
8.9;-243.892212;-77.279167;
9.0;-252.169174;-78.259834;
9.1;-260.544220;-79.240501;
9.2;-269.017334;-80.221169;
9.3;-277.588501;-81.201836;
9.4;-286.257782;-82.182510;
9.5;-295.025085;-83.163177;
9.6;-303.890472;-84.143845;
9.7;-312.853912;-85.124512;
9.8;-321.915466;-86.105186;
9.9;-331.075043;-87.085854;
